molecule ID,concentration
OROTIDINE-5-PHOSPHATE[o],0.0
OROTIDINE-5-PHOSPHATE[p],0.0
OROTIDINE-5-PHOSPHATE[l],0.0
OROTIDINE-5-PHOSPHATE[i],0.0
BIOTIN[n],0.0
BIOTIN[j],0.0
BIOTIN[w],0.0
BIOTIN[c],10743.867538722367
BIOTIN[e],0.0
BIOTIN[m],0.0
BIOTIN[o],0.0
BIOTIN[p],0.0
BIOTIN[l],0.0
BIOTIN[i],0.0
MALONATE-S-ALD[n],0.0
MALONATE-S-ALD[j],0.0
MALONATE-S-ALD[w],0.0
MALONATE-S-ALD[c],0.0
MALONATE-S-ALD[e],0.0
MALONATE-S-ALD[m],0.0
MALONATE-S-ALD[o],0.0
MALONATE-S-ALD[p],0.0
MALONATE-S-ALD[l],0.0
MALONATE-S-ALD[i],0.0
CPD0-1402[n],0.0
CPD0-1402[j],0.0
CPD0-1402[w],0.0
CPD0-1402[c],0.0
CPD0-1402[e],0.0
CPD0-1402[m],0.0
CPD0-1402[o],0.0
CPD0-1402[p],0.0
CPD0-1402[l],0.0
CPD0-1402[i],0.0
METHYL-GROUP[n],0.0
METHYL-GROUP[j],0.0
METHYL-GROUP[w],0.0
METHYL-GROUP[c],0.0
METHYL-GROUP[e],0.0
METHYL-GROUP[m],0.0
METHYL-GROUP[o],0.0
METHYL-GROUP[p],0.0
METHYL-GROUP[l],0.0
METHYL-GROUP[i],0.0
AMINOMALONATE[n],0.0
AMINOMALONATE[j],0.0
AMINOMALONATE[w],0.0
AMINOMALONATE[c],0.0
AMINOMALONATE[e],0.0
AMINOMALONATE[m],0.0
AMINOMALONATE[o],0.0
AMINOMALONATE[p],0.0
AMINOMALONATE[l],0.0
AMINOMALONATE[i],0.0
D-SERINE[n],0.0
D-SERINE[j],0.0
D-SERINE[w],0.0
D-SERINE[c],0.0
D-SERINE[e],0.0
D-SERINE[m],0.0
D-SERINE[o],0.0
D-SERINE[p],0.0
D-SERINE[l],0.0
D-SERINE[i],0.0
PICOLINATE[n],0.0
PICOLINATE[j],0.0
PICOLINATE[w],0.0
PICOLINATE[c],0.0
PICOLINATE[e],0.0
PICOLINATE[m],0.0
PICOLINATE[o],0.0
PICOLINATE[p],0.0
PICOLINATE[l],0.0
PICOLINATE[i],0.0
CPD-12245[n],0.0
CPD-12245[j],0.0
CPD-12245[w],0.0
CPD-12245[c],0.0
CPD-12245[e],0.0
CPD-12245[m],0.0
CPD-12245[o],0.0
CPD-12245[p],0.0
CPD-12245[l],0.0
CPD-12245[i],0.0
TTP[n],0.0
TTP[j],0.0
TTP[w],0.0
TTP[c],2769200.078769239
TTP[e],0.0
TTP[m],0.0
TTP[o],0.0
TTP[p],0.0
TTP[l],0.0
TTP[i],0.0
ERYTHROSE-4P[n],0.0
ERYTHROSE-4P[j],0.0
ERYTHROSE-4P[w],0.0
ERYTHROSE-4P[c],0.0
ERYTHROSE-4P[e],0.0
ERYTHROSE-4P[m],0.0
ERYTHROSE-4P[o],0.0
ERYTHROSE-4P[p],0.0
ERYTHROSE-4P[l],0.0
ERYTHROSE-4P[i],0.0
RIBOFLAVIN[n],0.0
RIBOFLAVIN[j],0.0
RIBOFLAVIN[w],0.0
RIBOFLAVIN[c],11437.92070275878
RIBOFLAVIN[e],0.0
